title,field_primary_speciality,field_image,field_about_doctor,field_competencies,field_professional_experience,field_education_training,field_conferences_seminars,field_awards_distinctions,field_publications,field_memberships,field_original_url
Dr. Nițulescu Alexandru,Medic specialist Ortopedie și Traumatologie  Terapia Durerii,dr-nitulescu-alexandru.jpg,,"<div class=""nectar-fancy-ul"" data-alignment=""left"" data-animation=""false"" data-animation-delay=""0"" data-color=""accent-color"" data-list-icon=""icon-salient-thin-line"" data-spacing=""default""> Chirurgie spinală
<p>Diagnosticul și tratamentul conservativ și chirurgical al patologiilor degenerative, tumorale și al diformităților vertebrale </p></div>","<p>2019- prezent: Chirurg Spinal, Pole Sante Sud, Le Mans, Franța</p>
<p>2012-prezent: Spinal Consultant</p>
<p>2019: Chirurg Spinal, Clinique Occitanie, Toulouse, Franța</p>
<p>2017-2018: Chirurg Spinal, Clinique de Champagne, Troyes, Franța</p>
<p>2015- 2017: Chirurg Spinal și Ortopedie, Polyclinique de Saint Come, Compiegne, Franța</p>
<p>2013- 2014: Chirurg Orthopedie Rachis, “ Hopital Monod”, Le Havre, Franța</p>
<p>2013: Spinal Consultant, “ Musgrove Park Hospital”, Marea Britanie</p>
<p>2012- 2013: Spinal Fellowhip “Great Western Hospital” Swindon, Marea Britanie</p>
<p>2012-2012: Spinal Fellowhip “Frenchay Hospital” Bristol, Marea Britanie</p>
<p>2011-2012: Spinal observership and Fellowship “Queen Medical Center”, Nottingham, Marea Britanie</p>
<p>2011: Spinal Fellowship “Princess Alexandra Hospital”, Harlow, Marea Britanie</p>
<p>2010-2011: Spinal Fellowship “Princess Alexandra Hospital”, Harlow, United Kingdoms</p>
<p>2009-2010: Medic specialist ortoped  “Good Hope Hospital”, Birmingham, Marea Britanie</p>
<p>2008-2009: Fellowship chirurgie spinala, Beilinson Rabin Medical Center, Tel Aviv, Israel</p>
<p>2009: Medic Specialist Ortoped, Clinica Privata RosanaMedical, București</p>
<p>2001-2008: Rezidențiat pe specialitatea “Ortopedie Traumatologie”- cu stagiul principal efectuat in “Spitalul de Ortopedie Traumatologie si TBC osteoarticular Foisorul de Foc”</p>","<p>2017: Eurospine Diploma certification</p>
<p>2012: Spinal Consultant (medic specializat exclusiv în patologia spinală) Musgrove Park Taunton Hospital United Kingdoms</p>
<p>2008: Medic specialist ortopedie-traumatologie</p>
<p>2001-2008: Medic rezident în specialitatea Ortopedie-Traumatologie</p>
<p>1996-2001: Universitatea de Medicină şi Farmacie “Carol Davila” , Medicină Generală, București</p>","<p>2017: European Spinal Diploma Course – curs de competență European în Chirurgia Spinală, Strasbourg,</p>
<p>2011: “Imperial Spinal Course” Londra, Marea Britanie</p>
<p>2010: “Advanced Baloon Kyphoplasy course”, Leiden, Netherland with Hands-on cadaver</p>
<p>2008 : AO Anterior Approach in Spine Surgery- AOSpine România, București  With Hands-on cadaver</p>
<p>2008: Anatomy and Surgery of Spine with Hands-on Cadaver » Graz, Austria</p>
<p>2007: SOFCOT Congres, Paris, Franța</p>
<p>2007: French National Spine Congres, Nantes, Franța</p>
<p>2007: ”Decompression and fixation of the spine- posterior approach” (with Hands-on cadaver),  Nantes, Franța</p>
<p>2007: Anatomy and surgical exposures of the Spine (with Hands-on cadaver) – Nantes, Franța</p>
<p>2007: Surgical exposures of the Knee and Flaps in Orthopaedic surgery (with Hands-on cadaver), Tours, Franța: Pr. Burdin, Pr. Masquelet</p>
<p>2007: Basic Course in Arthroscopic Knee Surgery», Hospital «Foişorul de Foc», Bucureşti , România</p>
<p>2007: AO Basic Course in Traumatology, Belek, Turcia</p>
<p>2007: Minimally invasive Knee Arthroplasty,-surgical event, Bucureşti, România</p>
<p>2006: Observership at “Hessing-Stiftung “ Orthopaedic Clinic,  Augsburg, Germania, Profesor Wild –Arthroplasty and Spine Surgery</p>
<p>2006: AO Basic Priciples of Spine Surgery, Belek, Turcia</p>
<p>2006: AO Basic Principles in Spine Surgery”, Bucureşti, România,</p>
<p>2006: Course of intramedullary osteosynthesis Stryker, Arad, România</p>
<p>2005: EFORT Course in Hand Pathology, Cheile Grădiştei, România  Minimally invasive Knee Arthroplasty »-surgical event, Bucureşti, România,</p>
<p>2006: “Knee and shoulder method of rehabilitation ”- PhD Robert Donatelli şi Joseph Wilkes, MD</p>
<p>2005: EFORT Congres 2005-Lisboa, Portugal</p>
<p>2005: SOROT Congres 2005-Bucureşti</p>",,"<p>2012: Spine Week-Amsterdam- “Analysis of the radiological outcome of the Discocerv cervical disc replacement” Nitulescu A, Giannoulis K, Balamuri G, Quirashi NA, Boszczyk B</p>
<p>2006: “<em>L’Arthroplastie totale de la hanche par chirurgie miniinvasive-resultats precoces</em>”-poster to  AOLF Quebec, Canada 2006 Authors: Prof. Popescu M, Dr. Niţulescu A., Dr. Golia T., Dr. Marinca L., Dr. Tudor S</p>
<p>2006: Contributie la publicatia: “<em>Durabilitatea endoprotezelor ortopedice”</em>  2006; Autorul cartii: Ing Căpitanu L- (contributie la imagistica).</p>
<p>2005: « <em>Clinical results in uncemented THR for hip dysplasia-acetabular side</em> » Popescu M, Marinca L, Stoica M, Niţulescu A, EFFORT Congress Lisboa, Portugal</p>","<p>Membru General Medical Council Marea Britanie</p>
<p>Membru în Consiliul Medicilor Franța</p>
<p>Membru Colegiul Medicilor din România (CMR)</p>
<p>Membru NASS</p>
<p>Membru Eurospine</p>
<p>Membru Society of Minimally Invasive Spine Surgery (SMISS)</p>",https://nord.ro/medici/dr-nitulescu-alexandru/
Dr. Spiridon Lavinia,Medic specialist Cardiologie,dr-spiridon-lavinia.jpeg,,"<p>-Consultații de specialitate</p>
<p>-EKG</p>
<p>-Ecografie</p>
<p>-Holter ECG</p>
<p>-Holter TA</p>","<p>2019 – 2024 Medic Specialist Cardiolog S.M.U. Dr. Ion Jianu, Pitești<br/>
2013 – 2019 Medic Rezident Cardiolog, Spitalul Universitar de Urgență Militar Central „Dr. Carol Davila”, București</p>","<ul>
<li>EU-CDA 2013 – Management of Diabetes in Patients with Cardiovascular Disease</li>
<li>Conferința de Aterotromboză Ediția XIII, București</li>
<li>Curs „Soluții Terapeutice în Infarctul Miocardic Acut”</li>
<li>Curs CardioCoag</li>
<li>Simpozion „Profilul Pacientului Hipertensiv din România – Unde Suntem și Ce Putem Face?”</li>
<li>Curs – Diagnosticul și Tratamentul Acut al Sindroamelor Coronariere Acute</li>
<li>Conferința de Aterotromboză Ediția XIV, București</li>
<li>Conferința Națională a Grupurilor de Lucru Organizată de Societatea Română de Cardiologie</li>
<li>The XIX World Congress of Echocardiography and Allied Technique, Sibiu</li>
<li>CardioConfort (Efortul Fizic și Bolile Cardiovasculare)</li>
<li>Congresul Național de Cardiologie Ediția a 53-a, Sinaia</li>
<li>„Imagistica în Cardiomiopatii”, București</li>
<li>Aorta – Corelații Anatomo-Clinice, București</li>
<li>„Update in Cardiology 2015”</li>
<li>Conferința de Aterotromboză Ediția XV, București</li>
<li>Congresul Național de Cardiologie Ediția a 54-a, Sinaia</li>
<li>Hipertensiunea Pulmonară – Post Tromboembolism Pulmonar</li>
<li>Simpozionul Internațional „The New Heart Rhythm Update in Cardiology”</li>
<li>Imagistica Secțională în Cardiologie</li>
<li>Curs Practic de Ecografie Transesofagiană</li>
<li>Curs : Boli Cardiace Ereditare, Simpozionul „Prof. Dr. C.C. Iliescu”</li>
</ul>","<p>2013 – 2019 Ecocardiografie – IUBCV “Prof. Dr. C.C. Iliescu”, Laborator Ecocardiografie Euroecolab, Secția Cardiologie3<br/>
2016 – 2017 Terapie Intensivă Cardiologică (UTIC), Spitalul Universitar de Urgență Militar Central Dr. Carol Davila<br/>
2015 – 2016 Diabet Zaharat, Nutriție și Boli Metabolice, Spitalul Universitar de Urgență Elias, Secția Endocrinologie, Diabet Zaharat, Nutriție și Boli Metabolice<br/>
2014 Neurologie, Spitalul Clinic Colentina, Secția Neurologie I<br/>
2014 Gastroenterologie, Spitalul Universitar de Urgență Militar Central Dr. Carol Davila, Secția Medicină Internă II<br/>
2014 Endocrinologie, Spitalul C.I. Parhon, Secția Tiroidă I<br/>
2014 Medicină Internă, Spitalul Clinic de Urgență Floreasca, Secția de Medicină Internă</p>",,,,https://nord.ro/medici/dr-spiridon-lavinia/
Dr. Neacșu Gabriela Liliana,Medic primar hematologie,dr-neacsu-gabriela-liliana.jpg,,"<p>Consultații hematologie</p>
<p>homeopatie</p>
<p>ecografie generală</p>
<p>îngrijiri paleative</p>
<p>Spitalizare de zi : anemii</p>
<p>boli onco-hematologice</p>","<p>2019- prezent Medic primar hematologie NORD Muntenia Hospital</p>
<p> </p>","<p>2008 Medic primar hematologie</p>
<p>2002 Medic specialist hematologie</p>
<p>1997- 2002 Medic rezident hematologie – Spitalul Clinic Fundeni – București</p>
<p>1996 Absolventă a Universității de Medicină și Farmacie “Carol Davila”- București</p>
<p> </p>
<p> </p>",,,,,https://nord.ro/medici/dr-neacsu-gabriela/
Dr. Umar Shamin,Medic specialist Gastroenterologie,dr-umar-shamin.jpeg,,"<p>Diagnosticarea și tratarea bolii ulceroase și a patologiilor provocate de aciditate</p>
<p>Diagnosticarea și tratarea bolii de reflux gastroesofagian și a complicațiilor acesteia</p>
<p>Tratarea endoscopică a polipilor gastrici și colonici</p>
<p>Montare de proteze esofagiene</p>
<p>Montare de PEG</p>
<p>Dilatare endoscopică a stenozelor esofagiene și a acalaziei, stenoze benigne ale tractului superior și inferior</p>
<p>Tratamentul endoscopic al hemoragiilor digestive</p>
<p>ERCP (sfincterotomie, extragere de calculi coledociene, sfincteroplastie, montare de proteze biliare plastice si expandabile, montare de stenturi pancreatice, folosirea Spyglass)</p>","<p>2017-Prezent: Medic specialist Gastroenterologie, Nord Muntenia Hospital</p>
<p>2016-prezent Medic Specialist Gastroenterologie Spitalul Clinic de Urgență Floreasca, București (România)</p>
<p>2013-2017 Medic Rezident Gastroenterologie Spitalul Clinic de Urgență Floreasca, București (România)</p>","<p>2017- Medic Specialist Gastroenterologie</p>
<p>2013-2016 Medic Rezident Gastroenterologie Spitalul Clinic de Urgență Floreasca, București (România)</p>
<p>2006-2012 Licența de Doctor-Medic UMF Gr.T. Popa, Iași (România)</p>
<p>2005-2006 University of Cambridge Al Ain Juniors school, Al Ain (Emiratele Arabe Unite)</p>",,,,,https://nord.ro/medici/dr-umar-shamin/
Dr. Odukoya Cristiana,Medic specialist Obstetrică Ginecologie,dr-odukoya-cristiana.jpeg,,<p>Obstetrică-ginecologie</p>,"<p>2023 – prezent: Medic Specialist Obstetrică Ginecologie, Nord Muntenia Hospital</p>
<p>2023 – prezent: Medic Specialist Obstetrică Ginecologie, Clinici Private</p>","<p>2023: Medic Specialist Obstetrică Ginecologie</p>
<p>2018-2023 Medic Rezident Obstetrică Ginecologie, Spitalul Clinic de Obstetrică-Ginecologie „Prof. Dr. Panait Sarbu”</p>
<p>2011-2017 Doctor Medic – Universitatea Medicină și farmacie „Carol Davila”</p>","<p>2023: 4th SREG International Conference of Aesthetic Gynecology and Regenerative Medicine</p>
<p>2023: 39th Annual Meeting of ESHRE Copenhagen, Denmark</p>
<p>2023: <span style=""font-size: 11.5pt;font-family: 'Arial',sans-serif;color: dimgray"">Al V-lea Congres Național al Societății de Endometrioză și Infertilitate Est-Europeană &amp; A VIII-a Conferință Națională a Societății Române de HPV </span></p>
<p>2023: Global Congress on Hysteroscopy and Intrauterine Surgery</p>
<p>2023: Top quality in ultrasound: everything you always wanted to know about ultrasound in ART</p>
<p>2023: Curs Ultrasonografie Hands-on, Spitalul Clinic Filantropia Bucuresti</p>
<p>2022-2023: Hormone therapies for menopause and healthy aging Course</p>
<p>2022: 3edvSREG International Conference of Aesthetic Gynecology and Regenerative Medicine</p>
<p>2022: Eshre 38th Annual Meeting Milan Italy</p>
<p>2022: The early menopausal patient – IMS online</p>
<p>2022: DHEA as antiaging therapy : systemic and local eﬀects – ISGE online</p>
<p>2022: Obesity During the Menopause: Incidence and Implications – ISGE online</p>
<p>2022: Management of infertility with carnitines and micronutrients – ISGE online</p>
<p>2022: Managementul Dietetic al Sindromului Ovarelor Polichistice online</p>
<p>2022: Safe Practices in ART Labs – Embryolab Academy online</p>
<p>2021: Embryos Training Program Clinica de Fertilitate si Ginecologie Embryos, Bucuresti Scientific Programme</p>
<p>2021: Bune Practici in Obstetrica Ginecologie</p>
<p>2021: Natural premature ovarian insufficiency and early menopause: a snapshot of hormonal management in a real-life setting in Italy</p>
<p>2020: Managementul leziunilor cervicale cauzate de HPV: Ghiduri si evidente clinice noi</p>
<p>2020: Interdisciplinaritate in abordarea Menopauzei</p>
<p>2020: Cursul de medicina Fetala- FMF Fellows Romania, Institutul Cervantes, Bucuresti</p>
<p>2018: Curs hands-on „Standarde aplicate in Ecografia Obstetricala – editia a V-a Clubul Regal al Medicilor, Bucuresti</p>
<p>2018: Advanced masterclass in Obstetric 7th Edition – Hemoragiile in post-partum, Sp. Dr. Ioan Cantacuzino</p>",,"<p>Despre AMH, MARKER-UL preferat al evaluării potențialului fertil feminin – Coautor</p>
<p>Ghiduri și Protocoale în Medicina Materno – Fetale, ed a treia, Vicenzo Berghella</p>
<p>Actual consideration concerning the contribution of hysteroscopy to diagnosis and treatment of adenomyosis in infertile patients – Coautor</p>",,https://nord.ro/medici/dr-odukoya-cristiana/
Dr. Mirancea Ana-iulia,Medic specialist Neurologie,dr-mirancea-ana-iulia.jpg,,<p>Neurologie</p>,<p>2013- prezent: Medic specialist Neurologie – NORD Muntenia Hospital</p>,"<p>2013: Medic specialist neurolog în cadrul S.C. MED-AS S.A.</p>
<p>2006 – 2012: Medic rezident la Spitalul Clinic de Neuropsihiatrie Craiova, secția de Neurologie</p>
<p>1998 – 2004: Facultatea de Medicină Generală din cadrul Universității de Medicină și Farmacie din Craiova</p>",,,,,https://nord.ro/medici/dr-mirancea-ana-iulia/
Dr. Mărgăritescu Alexandru-cristian,Medic specialist Chirurgie generală,dr-margaritescu-alexandru-cristian.jpeg,,"<p>Chirurgie generală</p>
<p>Consultații în ambulatorul de specialitate</p>
<p>Intervenții chirurgicale în spitalizare de zi și spitalizare continuă</p>
<p>Tratamentul pacienților cu patologie chirurgicală</p>",<p>2022- prezent: Medic specialist Chirurgie generală – NORD Muntenia Hospital</p>,"<p>Medic specialitatea Chirurgie generala</p>
<p>Rezidentiat efectuat în cadrul Spitalului Clinic Municipal de Urgență Timișoara</p>
<p>2008 – 2014: Absolvent al Universități de Medicină și Farmacie “Victor Babeș”- Timișoara</p>
<p> </p>
<p> </p>
<h4></h4>",,,,,https://nord.ro/medici/dr-margaritescu-alexandru-cristian/
Dr. Pavelescu Alexandra,Medic specialist Obstetrică- Ginecologie,dr-pavelescu-alexandra.jpeg,,"<p>Ultrasonografie Obstetrică și Ginecologie</p>
<p>Colposcopie</p>
<p>Histeroscopie</p>","<p>2023-Prezent: Medic specialist Obstetrică- Ginecologie, Nord Muntenia Hospital</p>
<p>2022-prezent : Medic Specialist Obstetrică-Ginecologie – Spitalul Orășenesc ,,Regele Carol I”</p>","<p>2021: Medic specialist Obstetrică și Ginecologie</p>
<p>2015-2021: medic rezident, INSMC „Alessandrescu-Rusescu” Spitalul Polizu</p>
<p>2008-2014 Doctor Medic – Universitatea Medicină și farmacie „Carol Davila”</p>",,,,,https://nord.ro/medici/dr-pavelescu-alexandra/
Dr. Ogrean Marius,Medic specialist Psihiatrie,dr-ogrean-marius.jpg,,"<p>Tulburări de personalitate</p>
<p>Tulburări afective</p>
<p>Tulburări neurocognitive</p>","<p>2021 – prezent: Medic Specialist psihiatrie –  Nord Muntenia Hospital</p>
<p> </p>
<h4></h4>",,,,,,https://nord.ro/medici/dr-ogrean-marius/
Psih. Gheorghe Cristina,Psiholog clinician,psih-gheorghe-cristina.jpeg,,"<p>Consultanții de specialitate</p>
<p>Psiholog autonom în psihologia Transporturilor, Muncii și Organizațională</p>
<p>Psihologie Aplicată în domeniul Apărării, Ordinei Publice și Siguranței Naționale</p>
<p>Acreditat de Institutul de Psihologie Aplicată în domeniul Sănătății Mintale pentru Examinarea psihologică specifică Comisiilor Medico-Legale Psihiatrice aflate în cadrul IML-urilor</p>
<p>Acreditat de Agenția Națională ANTIDROG, în Intervenții timpurii pentru consumatorii de droguri care au fost identificați/depistați pentru prima oară</p>",,"<p>Master în Psihologie Medico-Legală și Criminalistică</p>
<p>Specialist în programul internațional Mental Health Facilitator ASAP – dezvoltat și susținut de către MBCC USA în colaborare cu OMS</p>
<p> </p>
<p> </p>
<h4></h4>",,,,,https://nord.ro/medici/psih-gheorghe-cristina/
Dr. Pavelescu Cristian,Medic specialist Urologie,dr-pavelescu-cristian.jpeg,,"<p>Oncologia urologică,</p>
<p>Uroginecologia,</p>
<p>Chirurgia reconstructivă,</p>
<p>Endourologia joasă și înaltă,</p>
<p>Urologia general.</p>",<p>2019-prezent Medic Specialist urologie – Nord Muntenia Hospital</p>,,,,,<p>Membru al Asociației Române de Urologie (ARU) si al European Association of Urology (EAU)</p>,https://nord.ro/medici/dr-pavelescu-cristian/
Dr. Sandu Magdalena,Medic primar Neurologie Pediatrică,dr-sandu-magdalena.jpeg,,"<p>Consultații de neurologie pediatrică</p>
<p>EEG veghe standard</p>
<p>EEG veghe/somn</p>
<p>EEG veghe și somn</p>
<p>EEG și certificare internațională în EEG la nou-născut și suga</p>",,"<p>2014- prezent Medic specialist neurologie pediatrică la Spitalul Clinic de Copii „Dr. Victor Gomoiu”</p>
<p>2012: Rezident în neurologie pediatrică – Spitalul Clinic de Copii „Victor Gomoiu”</p>
<p>2012: Absolventă a Universității de Medicină și Farmacie “Iuliu Hațieganu” – Cluj-Napoca</p>
<p>2006- 2012: Medic rezident neurologie pediatrică, Spitalul Clinic de Urgență „Sf. Pantelimon București”</p>
<p>1998 – 2004: Universitatea de Medicină și Farmacie „Iuliu Hațieganu”, Cluj-Napoca</p>","<p>Curs EEG în diagnosticul și managementul epilepsiei la nou-născut și copil VIREPA ianuarie-iulie 2018</p>
<p>Video-EEG în Epilepsiile Copilului, noiembrie 2016. Madrid, Spania (ILAE)</p>
<p>Curs est-european de epilepsii rezistente la tratament, iunie 2016, Cheile Gardiștei, România</p>
<p>Curs metodă de diagnostic neurologic după Vojta, aprilie 2016</p>
<p>Curs EEG – Prof. Florin Amzică, iulie/decembrie 2015, Cluj-Napoca, România</p>
<p>Curs internațional de epileptologie, 11-14 iunie 2014, Cheile Gradiștei, România</p>
<p>Curs Ecografie cerebrală, aprilie 2014, Cluj-Napoca, România</p>
<p>EFNS, iunie 2013, Barcelona, Spania</p>
<p>Curs EPNS training: ”Neurologie acută și neuro-oncologie”, „Bolile autoimune și infecțioase ale sistemului nervos” 7-10 mai 2012, Sarajevo, Bosnia –Herțegovina</p>
<p>Reciclare curs Vojta, martie 2012, Sibiu, România</p>
<p>Curs EPNS: „Bolile neuromusculare” 27-28 iun. 2011, Cheile Grădiştei, România</p>
<p>Curs EPNS: „Neurologia perinatală” 29-30 iun. 2011, Cheile Grădiştei, România</p>
<p>Workshop EPNS „Bolile neuromusculare” 9-14 mai 2011 Cavtat –Dubrovnik, Croaţia</p>
<p>Curs EPNS „EEG ictal” 9-14 mai 2011 Cavtat –Dubrovnik, Croaţia</p>
<p>Conferinţa Naţională „Epilepsiile rezistente – modalități de tratament”, 25-26 feb.2011, București</p>
<p>Curs organizat de Societatea Internațională Vojta „Consultații neurologice la nou -născut și la sugari după Vojta”, 13-18 sept 2010, Sibiu, România (atestat în diagnostic neurologic- metoda Vojta)</p>
<p>Epi-Expert 4 Program educațional pentru Managementul epilepsiei</p>","<p>Premiul II Conferința ASNER  2013 prezentare „Epilepsia cu complexe vârf-undă continuă de somn”</p>
<p>Poster premiat- Conferința Națională de Pediatrie 2014 „ Cauză rară de afectare neurologică in cadrul unei patologii nutriționale</p>",,"<p>SRNP – Societatea Română de Neurologie Pediatrică</p>
<p>EPNS – European Pediatric Neurology Society</p>
<p>MDS – Movement Disorders Society</p>
<p>SRIE – Societatea Română împotriva Epilepsiei</p>",https://nord.ro/medici/dr-sandu-magdalena/
Dr. Barbu Cornelia,Medic Primar Medicina Interna,dr-barbu-cornelia.jpg,,<p>Consultații medicina internă</p>,"<p>2011- prezent Medic primar NORD Muntenia Hospital</p>
<p>1997 – Medic primar Spitalul Județean Argeș, Pitești, Ambulatoriul de Specialitate, Cabinetul de Medicină Internă</p>
<p>1992 – 1997 – Medic specialist Spitalul Județean Argeș, Pitești, Ambulatoriul de Specialitate, Cabinetul de Medicină Internă</p>","<p>1990 -1992 – Medic rezident în specialitatea medicină internă Spitalul Județean Argeș, Pitești, Medicina Internă, Secția Medicală 1</p>
<p>1989 – 1990 – Medic rezident în specialitatea medicină internă Spitalul Universitar de Urgență București, Medicina Internă – Clinică</p>
<p>1987 -1989 – Medic de întreprindere Arpechim Pitești, Dispensarul Policlinic Arpechim Pitești</p>
<p>1984 – 1987 – Medic de întreprindere Uzina de Autoturisme Pitești (UAP) Dispensar Policlinic UAP Pitești</p>
<p>1981-1984 – Medic stagiar Spitalul Județean Argeș, Medicina Generală</p>",,,,"<p>2008 – Membru European Academy of Clinical Immunology</p>
<p>2007 – Membru European Respiratory Society (ERS)2006 – Membru Societatea Română de Neurogastroenterologie</p>
<p>2006 – Membru European Society of Neurogastroenterology and Motility</p>
<p>2006 – Membru Societatea Română de Pneumologie</p>
<p>2006 – Membru Societatea Română de Cardiologie</p>
<p>2005 – Membru Federația Europeană de Medicină Internă</p>
<p>2004 – 2008 – membru al Consiliului Județean Colegiul Medicilor din România</p>
<p>2004 – Membru Asociația Europeană pentru Studiul Ficatului</p>
<p>2003 – Membru Asociația Română pentru Studiul Ficatului</p>
<p>2001 – Membru Societatea Română de Medicină Internă</p>
<p>2002 – Membru Societatea Română de Gastroenterologie, Hepatologie și Endoscopie Digestivă</p>",https://nord.ro/medici/prof-dr-barbu-cornelia/
Dr. Dincă Eugenia,Medic primar Radiologie și Imagistică Medicală,dr-dinca-eugenia.jpeg,,<p>Radiologie și Imagistică medicală</p>,"<p>2018 – prezent: Director Medical – NORD Muntenia Hospital</p>
<p>2015- prezent: Medic primar Radiologie și Imagistică Medicală – NORD Muntenia Hospital</p>",,,,,,https://nord.ro/medici/dr-dinca-eugenia/
Dr. Bunea Ancuța Maria,Medic specialist ORL,dr-bunea-ancuta-maria.jpeg,,<p>ORL</p>,"<p>2023-Prezent: Medic specialist ORL, Nord Muntenia Hospital</p>","<p>2023: Medic specialist ORL</p>
<p>2022: Medic rezident- Spitalul Robert Ballanger Franta</p>
<p>2018-2023 : Medic rezident la Spitalul Universitar de Urgență Militar Central”Dr. Carol Davila” București</p>
<p>2011-2017 Doctor Medic – Universitatea Medicină și farmacie „Carol Davila”</p>","<p>2022: Bioetică medicala „Institutul de Medicină Legală Mina Minovici, București”</p>
<p>2021: Chirurgie Oromaxilo-facială „Spitalul Clinic de Chirurgie Oromaxilo-facială Prof Dr. Dan Teodorescu, București”</p>
<p>2021: Neurologie „Spitalul Universitar Central Militar de Urgență” Carol Davila, București”</p>
<p>2021: Chirurgie Plastică  „Spitalul Universitar de Urgență București”</p>
<p>2021: Neurochirurgie „Spitalul Clinic de Urgență, Bagdasar Arseni, Bucuresti”</p>
<p>2020: Otorinolaringologie Pediatrică „Spitalul Clinic de Urgență Copii Marie Curie, București”</p>
<p>2019: Pneumologie „Institutul de Pneumoftiziologie Marius Nasta, București”</p>
<p>2019: ORL și Chirurgie Cervicală și Facială (audiologie, vestibulologie, foniatrie) Institutul de Fonoaudiologie și Chirurgie Funcțională ORL Prof. Dorin Hociota, Bucuresti</p>
<p>2018: Oftalmologie „Spitalul Universitar Central Militar de Urgență Carol Davila, București”</p>
<p>2018: Chirurgie general „Spitalul Universitar de Urgență București”</p>",,,"<p>Membru al Consiliului Municipal al colegiului medicilor din București.</p>
<p>Societatea Română de Otorinolaringologie și Chirurgie Cervicală și Facială</p>",https://nord.ro/medici/dr-bunea-ancuta-maria/
Dr. Onilă Alexandru Marius,Medic specialist ORTOPEDIE PEDIATRICĂ,dr-onila-alexandru-marius.jpeg,,<p>ORTOPEDIE PEDIATRICĂ</p>,"<p>2024-prezent: Medic specialist Ortopedie Pediatrică, Nord Muntenia Hospital</p>
<p>2022-prezent Medic specialist Ortopedie Pediatrică Spitalul de Pediatrie Pitești</p>
<p>2021-prezent, Medic specialist Ortopedie Pediatrică Clinică Privată</p>
<p>2020 – prezent Medic specialist Ortopedie Pediatrică Spitalul Clinic de Urgență pentru Copii Marie Sklodowska Curie</p>
<p>2020-2022 Medic specialist Ortopedie Pediatrică, Spitalul Județean de Urgență Târgoviște</p>","<p>2019: Medic specialist Ortopedie Pediatrică</p>
<p>2014-2018 : Medic rezident Ortopedie Pediatrică Spitalul Clinic de Urgență pentru Copii Marie Sklodowska Curie</p>
<p>2007-2013 Doctor Medic – Universitatea Medicină și farmacie „Carol Davila”</p>","<p>Certificate of Attendance at EPOS Advanced Course on Motion Analysis for Pediatric</p>
<p>Orthopaedic Surgeons in collaboration with ESMAC, Certificat de absolvire al cursului de pregătire inițială „Protecția Radiologică în Roentgendiagnostic și Radiologia Intervențională, Nivel II”</p>
<p>Certificat de absolvire al cursului practic SRATS „Artroscopia de Genunchi”, desfasurat la UMF</p>
<p>Iuliu Hateganu, Cluj Napoca</p>
<p>EPOS Diploma of Completion the Core Curriculum in Children’s Orthopaedics</p>
<p>Certificat de participare la „the 6th EPOS-EFORT BAT Instructional Course Trilogy Part I, Paediatric Orthopaedic Basic I Course”</p>
<p>Certificat de participare la „the 5th EPOS-EFORT BAT Instructional Course Trilogy Part II, Paediatric Trauma Course”</p>
<p>Certificat de participare la „the 4th EPOS-EFORT BAT Instructional Course Trilogy Part III –</p>
<p>Paedriatric Orthopaedics Basic II”</p>
<p>Certificat de participare la „al XVII-lea Congres de Ortopedie și Traumatologie”</p>
<p>Certificat de participare in calitate de lector la „EPOS Regional Core Curriculum Courses”, Bucuresti</p>",,,"<p>Membru EPOS</p>
<p>Membru SRATS</p>",https://nord.ro/medici/dr-onila-alexandru-marius/
